Geslacht,Bedrijfstakken/branches (SBI 2008),Perioden,Onderwerp,Type werkenden,Waarde
Mannen,"A Landbouw, bosbouw en visserij",2013,Werkzame personen,Werknemers,68.0
Mannen,"A Landbouw, bosbouw en visserij",2013,Werkzame personen,Zelfstandigen,66.0
Mannen,"A Landbouw, bosbouw en visserij",2013,Banen,Werknemers,
Mannen,"A Landbouw, bosbouw en visserij",2013,Banen,Zelfstandigen,89.0
Mannen,"A Landbouw, bosbouw en visserij",2013,Arbeidsjaren,Werknemers,56.0
Mannen,"A Landbouw, bosbouw en visserij",2013,Arbeidsjaren,Zelfstandigen,64.0
Mannen,"A Landbouw, bosbouw en visserij",2013,Gewerkte uren,Werknemers,102.0
Mannen,,2013,Gewerkte uren,Zelfstandigen,181.0
Mannen,"A Landbouw, bosbouw en visserij",2014,Werkzame personen,Werknemers,67.0
Mannen,,2014,Werkzame personen,Zelfstandigen,66.0
Mannen,"A Landbouw, bosbouw en visserij",2014,Banen,Werknemers,75.0
Mannen,,2014,Banen,Zelfstandigen,89.0
Mannen,"A Landbouw, bosbouw en visserij",2014,Arbeidsjaren,Werknemers,55.0
Mannen,"A Landbouw, bosbouw en visserij",2014,Arbeidsjaren,Zelfstandigen,64.0
Mannen,"A Landbouw, bosbouw en visserij",2014,Gewerkte uren,Werknemers,101.0
Mannen,,2014,Gewerkte uren,Zelfstandigen,181.0
Mannen,"A Landbouw, bosbouw en visserij",2015,Werkzame personen,Werknemers,66.0
Mannen,"A Landbouw, bosbouw en visserij",2015,Werkzame personen,Zelfstandigen,66.0
Mannen,"A Landbouw, bosbouw en visserij",2015,Banen,Werknemers,73.0
Mannen,"A Landbouw, bosbouw en visserij",2015,Banen,Zelfstandigen,90.0
Mannen,"A Landbouw, bosbouw en visserij",2015,Arbeidsjaren,Werknemers,54.0
Mannen,,2015,Arbeidsjaren,Zelfstandigen,63.0
Mannen,"A Landbouw, bosbouw en visserij",2015,Gewerkte uren,Werknemers,98.0
Mannen,"A Landbouw, bosbouw en visserij",2015,Gewerkte uren,Zelfstandigen,181.0
Mannen,"A Landbouw, bosbouw en visserij",2016,Werkzame personen,Werknemers,67.0
Mannen,"A Landbouw, bosbouw en visserij",2016,Werkzame personen,Zelfstandigen,67.0
Mannen,"A Landbouw, bosbouw en visserij",2016,Banen,Werknemers,73.0
Mannen,"A Landbouw, bosbouw en visserij",2016,Banen,Zelfstandigen,91.0
Mannen,"A Landbouw, bosbouw en visserij",2016,Arbeidsjaren,Werknemers,55.0
Mannen,"A Landbouw, bosbouw en visserij",2016,Arbeidsjaren,Zelfstandigen,65.0
Mannen,"A Landbouw, bosbouw en visserij",2016,Gewerkte uren,Werknemers,101.0
Mannen,"A Landbouw, bosbouw en visserij",2016,Gewerkte uren,Zelfstandigen,186.0
